Index,cryptid-name,Aliases/Also Known As,Media Mentions,Type,Specific Location(s),Folklore,Traits,Danger Level,Behavior,Summary,First Reported Sightings,Reported Sightings (Approx.),Hoaxes,Debunked (Y/N),Cryptid Popularity Score
11,Abereen Wildman,N/A,Mentioned in fringe African cryptid compilations and speculative zoology blogs. No mainstream or scholarly sources corroborate the name or origin. Media mentions are nearly nonexistent and unverified.,Humanoid Cryptid,"Aberdeenshire, Scotland",Scottish tales speak of a hairy forest-dwelling humanoid spotted in remote regions.,"Hair-covered, tall, strong, human-like",6,Avoids human contact but reacts defensively when threatened. Often seen foraging or roaming hillsides alone.,"The Abereen Wildman is a regional variant of the European wild man tradition, said to inhabit remote woodlands of northeastern Scotland. Descriptions suggest a bipedal, ape-like creature covered in dark hair. Unlike Bigfoot, it is described as smaller and more humanlike. It has been blamed for missing livestock and strange footprints. Witnesses often describe a foul odor and guttural vocalizations. The creature is usually seen at dusk or dawn. Despite local rumors, no formal investigation has confirmed its existence. The Wildman persists more in legend than documented cryptozoology.",1980s,9,"This cryptid is scarcely mentioned outside of speculative lists and lacks any verifiable origin. There are no confirmed hoaxes, though its obscurity suggests it may have been invented or misnamed in cryptid compilations.",No,3
12,Abnauayu,Abnauaiyu,Included in a handful of Caucasus region folklore indexes and rare ethnographic surveys. Appears briefly in Russian cryptozoology texts and isolated expedition anecdotes. Media mentions are extremely limited and not corroborated in global sources.,Humanoid Cryptid,"Caucasus Mountains, Abkhazia (Georgia)","Caucasus mountain folklore depicts it as a reclusive, ape-like wildman surviving in the highlands.","Hairy, bipedal, mute, ape-like",5.5,Keeps distance from humans but has reportedly stolen food or interacted briefly with villagers. Usually avoids direct confrontation.,"The Abnauayu is a wild humanoid said to inhabit the remote forests of Abkhazia. Often compared to the Almas, it is considered a relict hominin or undiscovered primate. Descriptions portray a hairy biped with a sloped forehead and no language ability. Villagers have reported brief encounters, typically at night or during harsh weather. Some accounts suggest family groups exist in the wilderness. Soviet-era scientists documented local beliefs and anecdotal sightings. No physical evidence or photographic proof has emerged. The creature remains a regional cryptid with limited exposure outside Eurasian folklore.",1870s,16,"The Abnauayu is tied to Russian and Caucasian wildman legends. Though no direct hoaxes have been exposed, its similarity to the Almas and other hominid cryptids has led to theories of mistaken identity. It remains unconfirmed and subject to local oral tradition.",No,4
13,Abominable Swamp Blob,N/A,Mentioned sporadically in cryptozoology compilations and internet forums focused on unexplained organic masses. Occasionally cited in connection with “globsters” or sea creature carcasses in tabloid-style reporting. Media mentions are infrequent and lack credible sources or scientific follow-up.,Ooze/Miscellaneous,"St. Augustine, Florida, United States","Often linked to local U.S. legends of mysterious organic masses washing ashore, typically after storms.","Gelatinous, odorless, semi-transparent, stationary, dissolves upon contact",2.5,"It was inert and motionless when found, lacking any indication of aggression. The creature’s stillness and decomposition implied no deliberate behavior.","The Abominable Swamp Blob refers to large, gelatinous, unidentified masses that have been found in swamps and coastal regions, often mistaken for sea monsters or alien life. These blobs are typically discovered washed up on shores or lurking in marshes, with no clear anatomical features. Scientists believe most are decomposed remains of whales or large marine animals, though some cases remain unexplained. Their bizarre appearance and foul odor have cemented them as cryptid curiosities and internet legends.",1955,4,Likely the result of decomposing organic material mistaken for a living entity. No verified reports exist beyond local hearsay and internet forums.,Yes,5
14,Abura Akago,Oil Baby,Referenced primarily in Japanese yokai encyclopedias and art books focused on Edo-period folklore. Rarely appears outside of academic texts on supernatural Japanese entities. Media mentions are minimal and largely limited to cultural studies.,Spirit/Yokai,"Kyoto Prefecture, Japan",Japanese ghost stories describe it as a fireball spirit taking the form of a baby who licks oil from lamps.,"Fiery, infant-like, hovering, light-emitting, ephemeral",1,It appears peacefully as a flame-like infant and is drawn to homes where oil has been wasted. Its behavior is mischievous but nonviolent.,"The Abura Akago is a Japanese yōkai (supernatural entity) described as the ghostly spirit of a child who licks oil from lamps. Originating in Edo-period folklore, this small, glowing red baby appears at night in homes where oil has mysteriously gone missing. It is said to symbolize the greed or carelessness of the living, especially oil thieves. While not dangerous, its eerie presence and disturbing behavior have made it a staple in ghost stories and cautionary tales throughout Japan.",1776,3,Generally considered folklore without credible sightings. Scholars believe it represents a moral tale rather than a physical entity.,Yes,3
15,Abura Sumashi,Oil Ghost,Found in Japanese yokai catalogues and local Kumamoto folklore references. Occasionally included in illustrated guides to Japanese spirits and monsters. Media mentions remain rare outside of niche folkloric or manga contexts.,Spirit/Yokai,"Amakusa, Kumamoto Prefecture, Japan","Kumamoto folklore depicts it as a spirit of someone who stole oil, cursed to roam the mountains forever.","Stone-headed, silent, robed, small stature, wanders rural paths",1,It quietly haunts mountain paths and appears to travelers without engaging. Its presence is more eerie than threatening.,"Abura Sumashi is a mysterious, potato-headed creature from Japanese folklore, particularly from the Kumamoto region. Believed to be the spirit of someone who stole oil in life—a serious offense in times when oil was precious—this squat figure wears a straw cloak and lurks in mountain passes. While not malevolent, it is known to appear suddenly to travelers, delivering a stare that sends chills. The Abura Sumashi reflects moral lessons about karma and respect for natural resources.",1800s,4,Thought to be a fictional creation rooted in regional ghost stories. No photographic or first-hand evidence has ever been substantiated.,Yes,3
16,Abyssal Rainbow Gar,N/A,Mentioned only in deep-sea cryptid lists and speculative aquatic creature blogs. Lacks any credible scientific documentation or firsthand reports. Media mentions are virtually nonexistent outside internet folklore compilations.,Aquatic,"Mariana Trench (off coast of Guam, Western Pacific Ocean)",Referenced in speculative ichthyology as a deep-sea cryptid reportedly spotted near ocean trenches.,"Color-shifting, elongated, deep-dwelling, sharp-toothed, iridescent",4.5,"It drifts through deep ocean currents, avoiding surface disturbance. The creature has shown no interaction with humans and behaves like a passive deep-sea dweller.","The Abyssal Rainbow Gar is a modern cryptid allegedly spotted in the deep ocean, described as a long, iridescent fish with gar-like features and bioluminescent stripes. It has been sighted by deep-sea fishermen and submersible operators, but no verified specimen has ever been captured. Its rainbow shimmer and reclusive habitat make it a favorite in speculative marine biology. Some believe it may be a misidentified oarfish or an undiscovered species adapted to extreme depths.",2007,2,No scientific basis has been established for this creature. The few mentions are likely exaggerations of deep-sea fish with bioluminescence.,No,4
17,Achiyalabopa,Bird Spirit of the Heavens,"Cited in Borges’ Book of Imaginary Beings and sometimes repeated in mythological fantasy collections. Mentioned briefly in Latin American folklore discussions, though without verified indigenous origin. Media mentions are limited to literary references and fictional creature indexes.",Mythical Bird,"Zuni Pueblo, New Mexico, United States","Zuni mythology describes it as a massive sky bird with rainbow-colored feathers, now lost to the world.","Multi-winged, radiant, colossal, feathered, sky-dwelling",6,"It is said to soar silently through high-altitude skies, rarely seen and never attacking. Its movement suggests a majestic but distant temperament.","Achiyalabopa is a divine bird from Pueblo mythology, particularly of the Zuni tribe. It is described as a massive, rainbow-colored avian with metallic feathers that can shoot lightning. Said to be a celestial being or storm spirit, Achiyalabopa serves as both a protector and destroyer, representing nature’s power and unpredictability. Though not a “cryptid” in the modern sense, it features heavily in sacred stories and continues to inspire artwork and storytelling within Indigenous communities.",1700s,0,"Believed to be a mythological symbol of power and flight from Zuni legend. No hoaxes have been formally recorded, but its existence is treated purely as allegorical.",Yes,2
18,Achlis,Moose-Horse,Appears in some medieval bestiaries and classical fantasy texts with uncertain sourcing. Referenced briefly in Borges’ writings as a mythical elk-like animal. Media mentions are infrequent and primarily literary in nature.,Mythical Beast,Roman Empire origin — possibly adapted from Scandinavian elk lore,Ancient Greek sources mention a moose-like creature with backward-facing knees said to live in northern lands.,"Moose-like, awkward-legged, fur-covered, prehistoric, elusive",2,"It is reclusive and avoids direct contact, moving awkwardly through forested regions. Despite its appearance, it displays no signs of hostility.","The Achlis is a creature from Roman and medieval bestiaries, described as a moose-like beast with no joints in its legs, forcing it to sleep standing up or leaning against trees. According to Pliny the Elder and other early sources, it was hunted by cutting down the trees it rested on, causing it to fall helplessly. Though clearly a mythical exaggeration, the Achlis may have been inspired by misinterpretations of elk behavior. It's often cited as an early example of myth blending with misunderstood zoology.",77 CE,1,Widely interpreted as a fictional animal mentioned in ancient texts. Modern scholars regard it as an imaginative construct rather than a genuine cryptid.,Yes,1
19,Adam-ayu,N/A,Rarely mentioned outside of obscure Asian cryptid lists and unverified sightings databases. Lacks coverage in any formal zoological or folkloric literature. Media mentions are negligible and largely anecdotal.,Humanoid,"West Papua Province, Indonesia","Siberian tribal lore speaks of a reclusive, apelike forest creature that avoids human contact.","Hairless, canine-faced, bipedal, nocturnal, muscular",3,"It moves cautiously near riverbanks, often hidden beneath foliage. The creature does not seek confrontation and appears wary of humans.","The Adam-ayu is a little-known cryptid reportedly found in parts of Indonesia. Described as a short, hairy humanoid resembling a primitive ape-man, it is said to avoid human contact and dwell in forested areas. Local tales suggest the Adam-ayu communicates in grunts and shows signs of intelligence, such as tool use and rudimentary shelter-building. Some researchers believe these stories may stem from sightings of undiscovered primates or misidentified humans living off-grid.",1912,3,"Lacks credible documentation or eyewitness accounts. No formal hoaxes are recorded, but its status as a cryptid is based solely on anecdote.",No,2
20,Adam-Dzhapais,N/A,Mentioned occasionally in Central Asian creature compilations and obscure expedition notes. Appears in speculative accounts blending regional myth with hominid lore. Media mentions are extremely limited and unverifiable.,Humanoid,"Altai Mountains, Altai Republic, Russia",Central Asian folklore depicts it as a wild mountain man known for stealing livestock and food from camps.,"Humanoid, tall, forest-dwelling, shy, solitary",4,"It emerges only in brief encounters, displaying confusion rather than aggression. Its behavior seems disoriented, with no known attacks.","Adam-Dzhapais is a wild-man cryptid from Central Asian folklore, often seen as a cousin of the Almasty or Yeti. Described as a large, hairy humanoid with deep-set eyes and a formidable presence, it reportedly lives in remote mountain ranges and avoids contact with humans. Tales from local herders claim it has been seen scavenging or observing humans from a distance. Soviet-era expeditions occasionally noted similar creatures, but no hard evidence has been gathered to support its existence.",1994,2,Primarily referenced in obscure folklore collections with no tangible evidence. Most researchers classify it as mythical or fabricated.,No,2
21,Adar Llwch Gwin,Birds of Rhiannon,Found in a few Welsh myth collections and Arthurian-related fantasy anthologies. Sometimes cited in online lists of magical birds or Celtic creatures. Media mentions are scarce and primarily historical or literary.,Mythical Bird,"Wales, United Kingdom","Welsh mythology describes them as giant, intelligent birds given to warriors by a powerful magician.","Intelligent, avian, obedient, sharp-clawed, Welsh folklore-based",7,"It follows commands with uncanny obedience and displays fierce loyalty. In legends, it acts with strategic precision during battle.","The Adar Llwch Gwin are mythical giant birds from Welsh folklore, said to possess intelligence and the ability to understand human speech. These creatures were believed to be fiercely loyal to their master, acting as messengers and warriors in battle. Their name roughly translates to 'birds of dust and wind,' evoking their swift, powerful presence. The birds were gifted to a legendary warrior, Drudwas ap Tryffin, by his fairy wife and played a tragic role in his downfall when they misinterpreted his orders. Though legendary, they’ve become a symbol of blind loyalty in Welsh myth.",1100s,0,"Rooted in Welsh mythology with no known hoax attempts. Considered allegorical, tied to magical symbolism rather than believed sightings.",Yes,3
22,Adaro,Sea Spirits,Appears in Melanesian mythology studies and is occasionally referenced in Pacific supernatural documentaries. Included in several cryptid encyclopedias with an emphasis on oceanic deities. Media mentions exist but are limited to cultural interpretations.,Aquatic Spirit,"Solomon Islands, Pacific Ocean",Solomon Islands folklore tells of malevolent sea spirits that travel on waterspouts and attack fishermen.,"Merman-like, gilled, spear-throwing, aggressive, dual-natured",8,"It swims aggressively and hurls fish as projectiles at humans, showing territorial hostility. The behavior is unique and violent compared to other oceanic entities.","The Adaro are dangerous aquatic spirits from the mythology of the Solomon Islands. Unlike typical mermaid or sea spirit myths, Adaro are malevolent beings that travel via waterspouts and hurl poisonous fish at humans from the sea. Described as half-man, half-fish, with features like a shark fin, gills behind the ears, and even a pufferfish growing out of their head, they represent a darker counterpart to benevolent sea spirits. They’re believed to dwell in the sun’s western path after sunset, symbolizing danger and death from the ocean depths.",1890s,5,"Originates from Solomon Islands mythology and is treated as a spiritual concept. No hoaxes have been publicly reported, and its depiction remains within oral tradition.",No,4
23,Adjule,Kelb-el-Khela,Featured in North African folklore digests and desert cryptid blogs. Cited in occasional travel and mystery documentaries focused on the Sahara. Media mentions are limited and often speculative or secondhand.,Phantom Canid,"Sahara Desert, Algeria and Mali",Saharan oral tradition claims it is a phantom canine roaming deserts near remote settlements.,"Wolf-like, desert-adapted, silent, elusive, glowing eyes",6.5,"It roams the desert alone or in small packs, maintaining distance from humans. Its actions are defensive when approached but otherwise elusive.","The Adjule is a cryptid canid said to inhabit the harsh expanses of the Sahara Desert. Described as a phantom-like wild dog or hyena with glowing red eyes, the creature is feared by Tuareg nomads who claim it travels in small packs and stalks camps at night. Unlike natural predators, the Adjule is often seen as a ghostly or supernatural entity, believed to bring misfortune or death. Though occasionally considered an undiscovered desert canine, the lack of physical evidence keeps it in the realm of folklore and mystery.",1928,21,Some early photographic “proofs” were later dismissed as misidentified dogs or wolves. Military reports have failed to confirm its presence.,No,4
24,Adlet,Dogmen of the North,Referenced in Inuit mythology summaries and some modern reinterpretations of Arctic folklore. Briefly mentioned in books exploring werewolf-like creatures globally. Media mentions are sparse but more consistent than most due to cultural origins.,Humanoid,Greenland and Northern Canada,"In Inuit legend, they are the offspring of a woman and a dog, said to live inland and hunt humans.","Part-human, part-canine, aggressive, fast-moving, red-haired",7.5,"It is portrayed as hostile and predatory, often attacking humans on sight. Its behavior is aggressive, driven by vengeance in most tales.","The Adlet, also known as Erqigdlit, are half-human, half-dog beings from Inuit mythology. They are the offspring of a human woman and a dog husband, part of a dark legend in which the woman’s father punishes her by sending her hybrid children to distant lands. The Adlet are often portrayed as vicious and warlike, standing on two legs with canine features and incredible speed. They’re sometimes used as a mythological explanation for enemies or strange footprints found in snow. The tale reflects Inuit fears of social transgression and cultural outsiders.",1888,14,"The narrative is accepted as part of Inuit legend with symbolic meaning. No hoax has been confirmed, but physical sightings are unsupported.",No,4
25,Adze,Ewe Vampire,Appears in West African folklore studies and anthropological texts discussing vampiric entities. Occasionally mentioned in documentaries exploring global vampire myths. Media mentions are limited to folklore and ethnographic contexts.,Vampiric Spirit,"Togo and Ghana, West Africa",Ewe folklore portrays it as a vampiric spirit that can possess people and feed on their life force.,"Firefly form, blood-drinker, possesses people",9,"It transforms into a firefly to infiltrate homes and feed on blood during sleep. The behavior is predatory but covert, operating primarily at night.","The Adze is a vampiric entity from the Ewe folklore of Togo and Ghana. By day, it takes the form of a firefly, able to infiltrate homes through small cracks or keyholes. Once inside, it transforms into a human-like spirit that drains life force and blood from its victims — especially children — often blamed for illness or unexplained deaths. Adzes are also said to possess people, leading to madness or social misfortune. In modern interpretations, they are connected to ideas of witchcraft and psychological manipulation.",1901,6,"Most accounts of the Adze stem from West African folklore, particularly as a cautionary tale about shapeshifting spirits. There are no recorded hoaxes, but its role as a vampiric entity is understood to be allegorical.",No,4
26,Afanc,Avanc,Referenced in numerous Welsh mythology books and featured in several popular cryptid encyclopedias. Occasionally mentioned in documentaries exploring lake monsters and Celtic legends. Media mentions are modest but consistent due to its strong cultural folklore presence.,Lake Monster,"Llyn yr Afanc, Snowdonia, Wales, UK",Welsh legends describe it as a dangerous lake monster that causes floods and drowns those who disturb it.,"Beaver-crocodile hybrid, aquatic",6.5,"It is known to attack those who disturb its lake or approach its territory. Otherwise, it remains submerged and undisturbed in remote waters.","The Afanc is a lake-dwelling monster from Welsh mythology, believed to inhabit Llyn yr Afanc in Snowdonia. Often described as a mix between a beaver, crocodile, and demon, it was said to cause floods by thrashing about in the water, sometimes even killing those who disturbed it. Legends recount attempts to trap and relocate the beast, including one tale where it was dragged out of the lake by a maiden and chained by King Arthur. The Afanc symbolizes the chaos of nature and the dangers hidden beneath calm waters.",1136,11,"The Afanc is tied to Welsh mythology and appears in medieval texts as a lake monster. No modern hoaxes have surfaced, and its existence is considered purely symbolic within mythological tradition.",Yes,5
27,Afonya,N/A,Appears sporadically in Russian folklore forums and regional tales involving forest spirits. Lacks coverage in major cryptid databases or scholarly literature. Media mentions are nearly nonexistent outside Eastern European storytelling compilations.,Forest Spirit,"Ural Mountains, Russia",Slavic rural tales reference Afonya as a mischievous forest spirit who leads travelers astray.,"Mossy, bark-like, hunched, humanoid",2,"It is said to roam desolate stretches of road at night, avoiding human contact. When encountered, it behaves erratically but not violently.","Afonya is a lesser-known cryptid or forest spirit believed to haunt the dense woodlands of the Ural Mountains in Russia. Described as a hunched, humanoid creature with moss-like hair and bark-like skin, it is elusive and rarely seen. Some regional tales liken it to a forest guardian or elemental, protecting certain groves from logging or human intrusion. Sightings are sporadic and usually second-hand, with Afonya acting more as a mysterious presence than a physical beast. It's occasionally likened to Slavic forest spirits like the Leshy.",1982,4,"Mentions of Afonya are sparse and largely anecdotal. No direct hoaxes are documented, though its classification as a cryptid is based solely on regional storytelling.",No,2
